"区域编码","区域","页码","课程ID","课程名称","教学点","培训机构","课程教材"
"310000","上海市","2","p35V5FppG2ZW7c01W5s0N043425hm0Zo","高中日语","上海博世凯进修学院","上海博世凯进修学院","日语必修第一册"
"310000","上海市","2","w69l5b226818C3A3P67So9T9g8E43M64","高中日语","上海博世凯进修学院","上海博世凯进修学院","--"
"310000","上海市","2","bz6gM8OmJ96ZJ1n5EF3988QxKt91Z704","高中日语","上海博世凯进修学院","上海博世凯进修学院","--"
"320000","江苏省","1","o811cQkBb1xW88R9Z8E6Rd05Np4U9l51","推荐日语","1111","如东昂蕾教育培训有限公司","超级少儿英文演讲家"
"340000","安徽省","1","E35a8c49843y0cnQKnScTiVxVks4N091","日语教程","枞阳湖畔教育培训学校有限责任公司","枞阳湖畔教育培训学校有限责任公司","日语教材"
"340000","安徽省","1","941f8c9ee318486f9f8c9ee318286fe8","日语教程","枞阳湖畔教育培训学校有限责任公司","枞阳湖畔教育培训学校有限责任公司","日语教程"
"340000","安徽省","1","wH18iF7K146g6591S3s515R3se361M23","日语教程","枞阳湖畔教育培训学校有限责任公司","枞阳湖畔教育培训学校有限责任公司","--"
"340000","安徽省","1","Z48h8v6F73RW97V2JJmOoat01B6d8Ra7","日语教程","枞阳湖畔教育培训学校有限责任公司","枞阳湖畔教育培训学校有限责任公司","--"
"340000","安徽省","1","Uq4WrO493F5B287P0Yi8Wn6y8sA8aB45","25年高考日语冬季1班","六安市裕安区星空教育培训学校","六安市裕安区星空教育培训学校","--"
"340000","安徽省","1","N58oL29F0E6o7S8x799F2Tj6T76z3266","高考日语","六安市裕安区星空教育培训学校","六安市裕安区星空教育培训学校","日语必修"
"340000","安徽省","1","C5E20HZk61468kBq09D82J8W8gk4kdW4","高二日语","黄山博文教育培训学校","黄山博文教育培训学校","新编日语教程1"
"340000","安徽省","1","F1H1iXIv0707R1ymhqS7N57Tfq5va3Yd","高一日语","芜湖市镜湖区思尔佳教育培训中心有限公司","芜湖市镜湖区思尔佳教育培训中心有限公司","高中日语必修一"
"350000","福建省","1","6a5785694a3e45c39785694a3e05c333","高考日语","漳州市芗城区立兴博翰培训学校","漳州市芗城区立兴博翰培训学校","标准日本语"
"350000","福建省","1","BX0d014N330ujr7I2Z27WuH4238uy163","高二日语","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","日语"
"350000","福建省","1","1a25905268c24692a5905268c22692a3","日语入门","福州市仓山区樱花日语培训中心","福州市仓山区樱花日语培训中心","日语教程1"
"350000","福建省","1","cU1f4o4Q6OLe1d4rP9V8O8B5c7cL7w95","高二日语","莆田市涵江区艾迪苍然教育培训中心","莆田市涵江区艾迪苍然教育培训中心","--"
"350000","福建省","1","c91Kr159F26D0mp1Jm131h2QQf586R5x","高三日语","莆田市涵江区艾迪苍然教育培训中心","莆田市涵江区艾迪苍然教育培训中心","--"
"350000","福建省","1","a9fb0433103fb9d5625706e744603d73","高二日语1班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语七年级全一册人民教育出版社"
"350000","福建省","1","a7i667h3D5ip0FyBcU1L6uRAT775dZ15","高一日语20250520班","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","新起点日语"
"350000","福建省","1","E1pitSXC8WU33qn15cc2e7440kt1r76v","高三日语","莆田市涵江区艾迪苍然教育培训中心","莆田市涵江区艾迪苍然教育培训中心","--"
"350000","福建省","1","bx3YkpR443h27826682O60u1b923O0L6","日语入门3","福州市仓山区樱花日语培训中心","福州市仓山区樱花日语培训中心","--"
"350000","福建省","1","9a51053b40d94e6391053b40d91e63bc","高二日语","莆田市涵江区艾迪苍然教育培训中心","莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"350000","福建省","2","c4ca274551174c828a274551177c82ea","高中日语","仙游县启航教育培训中心","仙游县启航教育培训中心","标准日本语"
"350000","福建省","2","iWlz9tyU9970q36ai98cP6m92dSX3m35","高二日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","人教版日语"
"350000","福建省","2","K27H3237J2Y5Eb3NFj0hJA20fuO204L0","2024秋季高一日语1班","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","日语"
"350000","福建省","2","k7wM8S04z1toJr718413v689e09J2MLC","高二日语B","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","日语必修1"
"350000","福建省","3","m6D27Y5em2Hy34Xbr6I8fn6s7RI4bFgY","2024届高三","仙游县启航教育培训中心","仙游县启航教育培训中心","标准日本语"
"350000","福建省","3","H5743f798y1Ji4y73gTFB7VJB6BL1902","专家局日语培训","福州市仓山区樱花日语培训中心","福州市仓山区樱花日语培训中心","日语教程2"
"350000","福建省","3","NmS0ZfIS914kON5C2kE46u20f051AH1i","日语入门1-2","福州市仓山区樱花日语培训中心","福州市仓山区樱花日语培训中心","--"
"350000","福建省","3","n4ME6979t4244WlHhC7E4374Nz3I8zRk","高二日语20250521班","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","日语必修3"
"350000","福建省","3","m1hT8Nd50QP168L9JotQ3UCe153O3891","日语教程1","福州市仓山区樱花日语培训中心","福州市仓山区樱花日语培训中心","--"
"350000","福建省","3","f7L9r3l2287m8412J5zEL6g91PJG73i5","25届提升班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"350000","福建省","3","lcJhf1681CC8DX9YrKSr2amhn2845Sby","日语","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","--"
"350000","福建省","3","GA33Rz4NN24M3Fz6oc85T7827z319bu9","24届高三日语1班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语选择性必修第二册人民教育出版社"
"350000","福建省","3","JdfKa4X0mj7uugBgCB3i270Bq9aU9SW4","2023秋季高三日语2","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","日语"
"350000","福建省","3","G377To132Q0T490pNX2t7n8P4836KJJS","日语入门","福州市仓山区樱花日语培训中心","福州市仓山区樱花日语培训中心","日语教程1"
"350000","福建省","4","Ui8470hllYB0l89yV7N7640743Du3jHW","高三日语","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","日语"
"350000","福建省","4","u7gUg6JSP0KQ1q2zPhm7ue24T32t3I8l","高二日语A","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","日语必修1"
"350000","福建省","4","U9Dw6Z5qBI9w175GJ4I4f877b4bwGZsV","高三日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","人教版日语"
"350000","福建省","4","PU6Cs072BGiNm6m98yZ3D4HSpB22Q009","2024秋高一日语","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","新起点日语"
"350000","福建省","4","rnL6G030Ue26kX295yAxev8W7g7tnR81","日语阅读提升","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"350000","福建省","4","VAub13C331o3i281o1M91k35Eu4V5PMM","高一日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","--"
"350000","福建省","4","T225N9v8X4013wYipd21x1629a0SDE95","高中日语赏析","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","新版中日交流标准日本语"
"350000","福建省","4","uVi1EH059Y03ID6wKamRBB5ym5MG9W86","高三日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","--"
"350000","福建省","5","t658972K85Ei75V42h3982k884i71YJe","高三日语2班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语必修第三册人民教育出版社"
"350000","福建省","5","u9470244GC73w8496IA99171Kesa4h64","高三日语","莆田市涵江区艾迪苍然教育培训中心","莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"350000","福建省","5","PE85l5274KZ3PRj0nHD71M41t2N2I5YD","高三日语","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","日语"
"350000","福建省","6","t53Z2n0R58O0G7274EKF3o7b4925vJsZ","高二日语","莆田市涵江区艾迪苍然教育培训中心","莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"350000","福建省","6","sNNX4e4855V19y6t9Rz2Ep2Q9O8Fo81w","高一日语","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","新起点日语"
"350000","福建省","6","w1cT1B03N8ru8887ER7tjS96154F621f","高二日语","厦门市同安区泛学广思培训学校","厦门市同安区泛学广思培训学校","日语"
"350000","福建省","6","VLd3Uf4WlN2x2CK5r0KQ1A09P19r97rF","高二日语2班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语必修第二册人民教育出版社"
"350000","福建省","6","yeN8pEcYQ379SrE891lqC88A4083NS10","小班阅读提升","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"350000","福建省","6","xeI89j7Z07A2EU25Tgc1B287AX519k53","高二日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","人教版日语"
"350000","福建省","6","W4GFP6v9d0Xo0r40n8K089PCoAtg1852","24届冲刺班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语选择性必修第二册人民教育出版社"
"350000","福建省","6","8198d0f698e541e498d0f698e5f1e43c","高三日语","云霄县仁才培训学校","云霄县仁才培训学校","--"
"350000","福建省","6","yn27ZlXV6eN4IL3OXG86pKln1X5a0948","高一日语2班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语选择性必修第一册人民教育出版社"
"350000","福建省","7","L9s32284u7aaDlaSC8mR29694v9cMRe9","高三日语秋季（秋）","福州市仓山区人人教育培训学校","福州市仓山区人人教育培训学校","新课标高考日语"
"350000","福建省","7","n54l23t592JbXE1381l241L1N0115544","高三日语课程2","福州市仓山区人人教育培训学校","福州市仓山区人人教育培训学校","--"
"350000","福建省","7","yZU3c119D6P5c9HN67407U4SLJx7B1A0","25届高二日语1班","莆田市城厢区智源教育培训中心","莆田市城厢区智源教育培训中心","日语必修第一册人民教育出版社"
"350000","福建省","7","OVV2mX19Z0V6p50A4Y9256gcr7u7P478","27届高二日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","--"
"350000","福建省","7","ee0c34358dfb4fc38c34358dfb2fc379","初级日语","莆田市秀屿区德川教育培训中心","莆田市秀屿区德川教育培训中心","新版中日交流标准日本语初级"
"350000","福建省","7","A1xr6gg1f0V6725poDs03Db0074i901g","26届高三日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","人教版日语"
"350000","福建省","7","p385s9W7s63741d15Kp71282tN857Hj2","高一日语20260417班","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","新起点日语"
"350000","福建省","8","m1YF0526Cm89F0W06FqGsZ76b5ik5n32","高三日语20260413班","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","日语必修1"
"350000","福建省","8","lzO5kE1Vdb1C1q0w1m68626U0m5eR24g","高二日语20251024班","厦门市思明区悦读明智课外培训中心","厦门市思明区悦读明智课外培训中心","--"
"350000","福建省","8","Xo727w605S5y4b189SA0w10w1S92tJi8","27届高三日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","人教版日语"
"350000","福建省","8","ZHSyfJ73Tjp5bWEG405e74SZ28240zyu","28届高二日语班","仙游县启航教育培训中心","仙游县启航教育培训中心","--"
"360000","江西省","1","31615fcaf0118565f1a40d09e1f80656","体验课","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","--"
"360000","江西省","1","205545e6e7a642fa9545e6e7a642fa3f","高二日语班","乐平市一品文化教育培训学校","乐平市一品文化教育培训学校","标准日本语"
"360000","江西省","1","45ee5d817aa44bdbae5d817aa46bdbd7","高一日语","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","--"
"360000","江西省","1","0dd8ba2790164fd998ba279016ffd98c","高考日语教学","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","标准日本语"
"360000","江西省","1","8ff2177d2dcc49e9b2177d2dcc49e911","日语入门","景德镇市珠山区文尚文化培训学校","景德镇市珠山区文尚文化培训学校","--"
"360000","江西省","1","17ea821cb24641d6aa821cb24631d697","艺考文化课","景德镇市珠山区文尚文化培训学校","景德镇市珠山区文尚文化培训学校","艺考生文化课"
"360000","江西省","1","B9T9Kp5yveBQx63u718CvNJJ565H37v3","高一日语","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","--"
"360000","江西省","1","9b47739ccec74a9287739ccec74a9206","高中日语","景德镇邦沃课外培训有限公司","景德镇邦沃课外培训有限公司","人民教育出版社 日语"
"360000","江西省","1","D14S6slSoC2i6F01oK4BH63fz1dIg019","2024高中日语","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","--"
"360000","江西省","1","d1P8q7LSSu77HM67y47Kh6s33C9ZtRP1","高二日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","日语必修第一册"
"360000","江西省","2","iHs10nz924587ype0XfJ7036rv29P4rV","高二日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","--"
"360000","江西省","2","aL18p9830ih9MIh83i9SU0rD23T8V22m","日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","日语必修第一册"
"360000","江西省","2","g33q841K13Yw95q9TM7476AEi5482m3x","日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","--"
"360000","江西省","2","g6xSv66Cq9QC29kQ87iU4gnzU2j8p96y","高考日语暑假班","景德镇市珠山区文尚文化培训学校","景德镇市珠山区文尚文化培训学校","艺考生文化课"
"360000","江西省","2","gWJ4X2D1cxaL33AfN566fk47C3pgH594","日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","--"
"360000","江西省","2","Hq02906fL41oMH4J5M0D739KoKB6o311","高考日语一对一","景德镇市珠山区文尚文化培训学校","景德镇市珠山区文尚文化培训学校","教材"
"360000","江西省","3","jJUonje96n0CM820ucTN3554EO6y90SZ","体验课","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","--"
"360000","江西省","3","IuDJ67R5KaTvIm8p19JMP62Pf1L01ix5","高中日语","江科科技园内J22栋4层","南昌高新区五柳教育培训学校","高中日语必修第一二三册选择性必修第一二册全套5本人教版"
"360000","江西省","3","a6O9YhPnu0Q354Xp24s2m318UA0geYL4","体验课","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","标准日本语"
"360000","江西省","3","e545b2a839a74d3285b2a839a72d32b0","高中日语班","赣州市章贡区博越课外培训中心","赣州市章贡区博越课外培训中心","标准日本语"
"360000","江西省","3","D627D2Y1P736aR22A84vXvZ95V1P6S63","2024高中日语","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","--"
"360000","江西省","3","e7cQ7xLBr3WIppvy1dS0z5k7HBXg5387","日语试听课程","博硕教育培训学校","贵溪市博硕教育培训学校","新经典日本语"
"360000","江西省","3","d89be8206e64b15077cd250f21fcb40a","高二日语","景德镇邦沃课外培训有限公司","景德镇邦沃课外培训有限公司","人民教育出版社 日语"
"360000","江西省","4","s9wxNw08c2F034vE6l7Cqzfq5X52579m","日语零基础班课","景德镇市珠山区文尚文化培训学校","景德镇市珠山区文尚文化培训学校","教材"
"360000","江西省","4","t4l5SrD9zBHYzf986Vqv45260831ZDsd","高考日语小班课","景德镇市珠山区文尚文化培训学校","景德镇市珠山区文尚文化培训学校","--"
"360000","江西省","4","MD6J9Wwr98C841768OrC20643b5gbSN4","高一日语","景德镇邦沃课外培训有限公司","景德镇邦沃课外培训有限公司","人教版日语必修"
"360000","江西省","4","ML66tbNVjFRW9fPtq51kj8K3Qt656p96","日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","--"
"360000","江西省","4","t6A0pwXsV74589f3Ay97m2PpUm6ov853","高考冲刺班06","南昌高新区新状元文化艺术学校","南昌高新区新状元文化艺术学校","高考日语"
"360000","江西省","4","Q2DsD3a2V3p20Hz339h576a1i63sB4S5","高二日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","--"
"360000","江西省","4","Q60x8Gx9fNtoTl0a5M3ja0L349Enw23Y","日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","--"
"360000","江西省","4","PMA51646571yrtg9f53A99r3UsXkN449","高考日语高二年级","博硕教育培训学校","贵溪市博硕教育培训学校","新经典日本语"
"360000","江西省","4","b1jkg7d444nXiXjZN3k161K001BSn40d","日语班","丰城市学者课外培训中心","丰城市学者课外培训中心","日语必修第一册"
"360000","江西省","5","d89iOO0S40IR0TnLl3324DNw9yr6R3Yh","高一日语2","赣州市赣县区弘艺教育培训中心","赣州市赣县区弘艺教育培训中心","标准日本语"
