"页码","课程名称","教学点信息","课程教材"
"2","日语","关岭德才教育 关岭德才教育培训有限责任公司","日语"
"3","日语解密","长沙市岳麓区互鉴教育培训学校 长沙市岳麓区知诺培训学校有限公司","--"
"3","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"3","25届日语高考班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"3","测试消课","泰安市泰山区天诺教育培训学校 泰安市泰山区天诺教育培训学校","高中日语必修第三册"
"3","实验","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","--"
"3","高一日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"3","测试1","泰安市泰山区天诺教育培训学校 泰安市泰山区天诺教育培训学校","高中日语必修第一册"
"3","高中日语课程","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"3","日本语全日制课程（中级）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","--"
"3","高一日语培训","威海市环翠区永幸教育培训学校 威海市环翠区永幸教育培训学校","人教版日语教材 九年级"
"4","高考日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"4","高考日语教学","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"4","高二日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"4","日语高考班","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"4","日语四班","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"4","日语入门","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","--"
"4","日语","长沙市岳麓区艺路文铖培训学校有限公司 长沙市岳麓区艺路文铖培训学校有限公司","--"
"4","日语解密","长沙市岳麓区互鉴教育培训学校 长沙市岳麓区知诺培训学校有限公司","--"
"4","艺考文化课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","艺考生文化课"
"4","日本语全日制课程（初级上）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"5","日语基础班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语九年级全一册"
"5","日语基础","烟台经济技术开发区通达日语培训学校 烟台经济技术开发区通达日语培训学校","日语基础"
"5","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"5","高一日语20250520班","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","新起点日语"
"5","高三日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"5","高一日语体验班","长沙市天心区澳领培训学校有限公司 长沙市天心区澳领培训学校有限公司","普通高中教科书日语必修"
"5","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","--"
"5","日语教程","枞阳湖畔教育培训学校有限责任公司 枞阳湖畔教育培训学校有限责任公司","日语教材"
"5","高三日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"5","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"6","高考日语基础班","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"6","高中日语班","赣州市章贡区博越课外培训中心 赣州市章贡区博越课外培训中心","标准日本语"
"6","每日一说","广州市海珠区承明教育培训中心 广州市海珠区承明教育培训中心","学科核心素养提升用书.高中日语实用写作"
"6","高中日语课程","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"6","日语试听课程","博硕教育培训学校 贵溪市博硕教育培训学校","新经典日本语"
"6","4月5月日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语选择性必修第二册"
"6","英语","关岭德才教育 关岭德才教育培训有限责任公司","标准日语"
"6","高中日语1","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"6","测试课程","长沙市雨花区语加教育培训学校有限公司 长沙市雨花区语加教育培训学校有限公司","义务教育教科书"
"6","日语体验班","河北省石家庄市新华区中华北大街210号高柱大厦728、729 石家庄市新华区词韵培训学校有限公司","人教版日语七年级"
"7","留学日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"7","2024高中日语","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"7","高中日语202512","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"7","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"7","高二日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","--"
"7","专家级日语课程","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程2"
"7","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"7","高中日语","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语七年级全一册人民教育出版社"
"7","五月份日语班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第三册"
"7","测试课程","长沙市雨花区语加教育培训学校有限公司 长沙市雨花区语加教育培训学校有限公司","义务教育教科书"
"8","高中日语进阶班1","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"8","日语入门","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","--"
"8","日语入门","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","艺考生文化课"
"8","日语","长沙市岳麓区艺路文铖培训学校有限公司 长沙市岳麓区艺路文铖培训学校有限公司","--"
"8","高中日语","景德镇邦沃课外培训有限公司 景德镇邦沃课外培训有限公司","人民教育出版社 日语"
"8","日语教程","枞阳湖畔教育培训学校有限责任公司 枞阳湖畔教育培训学校有限责任公司","日语教程"
"8","高二日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"8","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"8","实验","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","--"
"8","25届日语高考班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"9","日本语全日制课程（初级下）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语句型练习册初级2"
"9","高二日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"9","日语","武汉市洪山区沐晨鑫教育培训学校有限公司 武汉市洪山区沐晨鑫教育培训学校有限公司","日语"
"9","日语班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"9","高中日语","长沙市雨花区语加教育培训学校有限公司 长沙市雨花区语加教育培训学校有限公司","义务教育教科书"
"9","测试课","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语初级1"
"9","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"9","高三日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"9","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"9","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"10","高二日语1班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语七年级全一册人民教育出版社"
"10","全日制课程高级","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","新日语能力考试考前对策 语法"
"10","日语基础","烟台经济技术开发区通达日语培训学校 烟台经济技术开发区通达日语培训学校","日语基础"
"10","高中日语进阶班1","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"10","日语入门","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","艺考生文化课"
"10","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"10","高中日语2","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"10","日语入门","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"10","高中日语","怀集县玖珑湾商业街58-61二楼 怀集县怀城街道智未来教育培训中心","高中日语必修一人教版"
"10","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"11","2023年暑假日语班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"11","高考日语VIP2班","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"11","高中日语","仙游县启航教育培训中心 仙游县启航教育培训中心","标准日本语"
"11","全日制课程初级上（一）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"11","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"11","高中日语进阶班2","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"11","日语","陆丰市甲子镇优师教育培训中心 陆丰市甲子镇优师教育培训中心","中日交流标准日本语"
"11","日语初级","上海徐汇区巧易思进修学校 上海徐汇区巧易思进修学校","标准日本语"
"11","全日制课程中级","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语中级2"
"11","高二日语班","仙游县启航教育培训中心 仙游县启航教育培训中心","人教版日语"
"12","日语初级","长治市潞州区慧师启航培训学校有限责任公司 长治市潞州区慧师启航培训学校有限责任公司","--"
"12","日本语全日制课程（初级中）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语句型练习册初级2"
"12","日本语全日制课程（中级）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","--"
"12","全日制课程高级","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","新日语能力考试考前对策 语法"
"12","高中日语","仙游县启航教育培训中心 仙游县启航教育培训中心","标准日本语"
"12","日本语全日制课程（高级）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","--"
"12","高中日语202512","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"12","日语","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","日语必修1"
"12","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"12","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"13","全日制课程初级上","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"13","高考日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","--"
"13","高二日语B","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","日语必修1"
"13","日语寒假集训班","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"13","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"13","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"13","高考日语基础班","威海市环翠区永幸教育培训学校 威海市环翠区永幸教育培训学校","日语同步练习 七年级"
"13","小语种2024.3-2024.5","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"13","2025新高一衔接班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"13","2023年秋季日语1班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"14","怀化三中日语班晚课(晚自习)","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"14","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"14","高中日语2026 一班","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"14","高中日语","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语七年级全一册人民教育出版社"
"14","高三日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"14","日本语全日制课程（初级下）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语句型练习册初级2"
"14","高考日语202311","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"14","高二日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"14","高中日语","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"14","高考日语冲刺班","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"15","全日制课程初级上（三）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"15","高考日语冲刺班","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"15","高考日语入门班","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"15","高考日语202311","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"15","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"15","2025高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"15","2024届高三","仙游县启航教育培训中心 仙游县启航教育培训中心","标准日本语"
"15","高三日语精讲班","郴州市苏仙区智怀戴氏教育培训学校有限公司 郴州市苏仙区智怀戴氏教育培训学校有限公司","标准日本语"
"15","4月份日语班一","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语九年级（全一册）"
"15","测试","河源市源城区浩恩教育培训中心 河源市源城区浩恩教育培训中心","标准日本语"
"16","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"16","日语入门","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"16","外语","关岭德才教育 关岭德才教育培训有限责任公司","标准日语"
"16","高考日语暑假班","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","艺考生文化课"
"16","24届高三日语1班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语选择性必修第二册人民教育出版社"
"16","高中日语进阶班","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"16","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"16","2025高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"16","日语202510","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"16","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","--"
"17","高中学科班课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","艺考生文化课"
"17","日语兴趣班","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"17","高中日语","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"17","高中日语精华班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语 必修 第一册"
"17","高中日语","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"17","高一基础班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"17","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"17","日语","开发区西航路西航公寓B1栋201 安顺开发区绿晨培训学校","英语"
"17","日语二班2023","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"17","专家局日语培训","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程2"
"18","考级日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"18","日语入门课","优见教育计星校区 茂名市茂南区优见计星教育培训中心","--"
"18","12月日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语选择性必修第二册"
"18","高三日语冲刺班","威海市环翠区永幸教育培训学校 威海市环翠区永幸教育培训学校","日语同步练习 九年级"
"18","高中寒假英语","长沙市岳麓区互鉴教育培训学校 长沙市岳麓区知诺培训学校有限公司","5年高考3年模拟"
"18","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"18","小语种2024.3-2024.5","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"18","2025新高一衔接班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"18","兴趣班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语七年级全一册"
"18","高一日语（20250520班）","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","新起点日语"
"19","高中日语进阶班2","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"19","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"19","日语试学","河源市源城区浩恩教育培训中心 河源市源城区浩恩教育培训中心","--"
"19","高考日语入门班","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"19","高考日语初级小班","河源市源城区浩恩教育培训中心 河源市源城区浩恩教育培训中心","标准日本语"
"19","日语","河源市源城区浩恩教育培训中心 河源市源城区浩恩教育培训中心","--"
"19","专家局日语培训","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程2"
"19","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"19","联考日语班1","南昌高新区新状元文化艺术学校 南昌高新区新状元文化艺术学校","高考日语"
"19","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"20","日语二班2023","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"20","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"20","高中日语","鹰潭市信江新区新航线教育培训学校 鹰潭市信江新区新航线教育培训学校","新编日语教程3"
"20","高中日语","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"20","高三日语课","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"20","考级班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语九年级全一册"
"20","高中日语2025","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"20","2025高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"20","高三日语精讲班","郴州市苏仙区智怀戴氏教育培训学校有限公司 郴州市苏仙区智怀戴氏教育培训学校有限公司","标准日本语"
"20","综合应用日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"21","日语教程1","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"21","日语班高三","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"21","高一日语","景德镇邦沃课外培训有限公司 景德镇邦沃课外培训有限公司","人教版日语必修"
"21","日语试学","河源市源城区浩恩教育培训中心 河源市源城区浩恩教育培训中心","标准日本语"
"21","25届提升班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"21","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"21","高中日语中级","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"21","2025高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"21","兴趣班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语七年级全一册"
"21","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","--"
"22","高中日语进阶班","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"22","高三日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"22","日语课程2024.10","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第二册"
"22","日语考级课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","大家的日语中级1"
"22","日语高三复习班","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"22","日语","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","日语"
"22","综合应用日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"22","高考日语进阶班6","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"22","决胜营","广州市海珠区承明教育培训中心 广州市海珠区承明教育培训中心","学科核心素养提升用书.高中日语实用写作"
"22","2504高中人教日语","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"23","全日制课程初级上","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"23","高一日语","长沙市天心区澳领培训学校有限公司 长沙市天心区澳领培训学校有限公司","--"
"23","高中日语2","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"23","测试班","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","新经典日本语第二册"
"23","高中日语","陆丰市甲子镇优师教育培训中心 陆丰市甲子镇优师教育培训中心","中日交流标准日本语"
"23","日语","河源市源城区浩恩教育培训中心 河源市源城区浩恩教育培训中心","标准日本语"
"23","小语种2023.12-2024.2","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语八年级（全一册）"
"23","24届高三日语1班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语选择性必修第二册人民教育出版社"
"23","日语","隆回县桃李源培训学校 隆回县桃李源培训学校","--"
"23","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"24","体验课","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"24","高一升高二日语","关岭德才教育 关岭德才教育培训有限责任公司","日语"
"24","2023秋季高三日语2","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","日语"
"24","高中日语","江科科技园内J22栋4层 南昌高新区五柳教育培训学校","高中日语必修第一二三册选择性必修第一二册全套5本人教版"
"24","日语考级冲刺课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","大家的日语中级1"
"24","高二日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"24","全日制课程初级中（三）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语句型练习册初级2"
"24","高考日语进阶班4","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"24","考级日语2311","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"24","高中日语课程","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"25","日语","隆回县桃李源培训学校 隆回县桃李源培训学校","高中日语词汇专项"
"25","2025高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"25","高中日语体验课","长沙市天心区澳领培训学校有限公司 长沙市天心区澳领培训学校有限公司","普通高中教科书日语必修"
"25","日语入门班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","--"
"25","日语基础班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语九年级全一册"
"25","日语入门","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"25","高二日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"25","基础班1","长沙市雨花区语加教育培训学校有限公司 长沙市雨花区语加教育培训学校有限公司","义务教育教科书"
